Ghazal ,Meter
"ġhunchah-e nā-shiguftah ko dūr se mat dikhā kih yūñ
bose ko pūchhtā hūñ maiñ muñh se mujhe batā kih yūñ",G15
"ḥasad se dil agar afsurdah hai garm-e tamāshā ho
kih chashm-e tang shāyad kaṡrat-e naz̤z̤ārah se vā ho",G2
"kaʿbe meñ jā rahā to nah do t̤aʿnah kyā kahīñ
bhūlā hūñ ḥaqq-e ṣuḥbat-e ahl-e kunisht ko",G3
"vā-rastah is se haiñ kih muḥabbat hī kyūñ nah ho
kīje hamāre sāth ʿadāvat hī kyūñ nah ho",G3
"qafas meñ hūñ gar achchhā bhī nah jāneñ mere shevan ko
mirā honā burā kyā hai navā-sanjān-e gulshan ko",G2
"dhotā hūñ jab maiñ pīne ko us sīm-tan ke pāñv
rakhtā hai ẓid se kheñch ke bāhar lagan ke pāñv",G3
"vāñ us ko haul-e dil hai to yāñ maiñ hūñ sharm-sār
yaʿnī yih merī āh kī tāṡīr se nah ho",G3
"vāñ pahuñch kar jo ġhash ātā paʾe-ham hai ham ko
ṣad rah āhang-e zamīñ bos-e qadam hai ham ko",G5
"tum jāno tum ko ġhair se jo rasm-o-rāh ho
mujh ko bhī pūchhte raho to kyā gunāh ho",G3
"gaʾī vuh bāt kih ho guft-go to kyūñkar ho
kahe se kuchh nah huʾā phir kaho to kyūñkar ho",G9
"kisī ko de ke dil koʾī navā-sanj-e fiġhāñ kyūñ ho
nah ho jab dil hī sīne meñ to phir muñh meñ zabāñ kyūñ ho",G2
"rahye ab aisī jagah chal kar jahāñ koʾī nah ho
ham-suḳhan koʾī nah ho aur ham-zabāñ koʾī nah ho",G1
"az mihr tā bah-żarrah dil-o-dil hai āʾinah
t̤ūt̤ī ko shash jihat se muqābil hai āʾinah",G3
"hai sabzah-zār har dar-o-dīvār-e ġham-kadah
jis kī bahār yih ho phir us kī ḳhizāñ nah pūchh",G3
"ṣad jalvah rū bah rū hai jo mizhgāñ uṭhāʾiye
t̤āqat kahāñ kih dīd kā iḥsāñ uṭhāʾiye",G3
"masjid ke zer-e sāyah ḳharābāt chāhiye
bhoñ pās āñkh qiblah-e ḥājāt chāhiye",G3
"bisāt̤-e ʿajz meñ thā ek dil yak qat̤rah ḳhūñ vuh bhī
so rahtā hai bah andāz-e chakīdan sar-nigūñ vuh bhī",G2
"hai bazm-e butāñ meñ suḳhan āzurdah laboñ se
tang āʾe haiñ ham aise ḳhvushāmad-t̤alaboñ se",G13
"tā ham ko shikāyat kī bhī bāqī nah rahe jā
sun lete haiñ go żikr hamārā nahīñ karte",G13
"ġham-e dunyā se gar pāʾī bhī furṣat sar uṭhāne kī
falak kā dekhnā taqrīb tere yād āne kī",G2
"ḥāṣil se hāth dho baiṭh ay ārzū-ḳhirāmī
dil josh-e giryah meñ hai ḍūbī huʾī asāmī",G10
"kyā tang ham sitam-zadagāñ kā jahān hai
jis meñ kih ek baiẓah-e mor āsmān hai",G3
"dard se mere hai tujh ko be-qarārī hāʾe hāʾe
kyā huʾī z̤ālim tirī ġhaflat-shiʿārī hāʾe hāʾe",G1
"sar-gashtagī meñ ʿālam-e hastī se yās hai
taskīñ ko de navīd kih marne kī ās hai",G3
"gar ḳhāmushī se fāʾidah iḳhfā-e ḥāl hai
ḳhvush hūñ kih merī bāt samajhnī muḥāl hai",G3
"tum apne shikve kī bāteñ nah khod khod ke pūchho
ḥażar karo mire dil se kih us meñ āg dabī hai",G16
"ek jā ḥarf-e vafā likkhā thā so bhī miṭ gayā
z̤āhiraṅ kāġhaż tire ḳhat̤ kā ġhalat̤-bardār hai",G1
"mirī hastī faẓā-e ḥairat ābād-e tamannā hai
jise kahte haiñ nālah vuh usī ʿālam kā ʿanqā hai",G2
"raḥm kar z̤ālim kih kyā būd-e chirāġh-e kushtah hai
nabẓ-e bīmār-e vafā dūd-e chirāġh-e kushtah hai",G1
"chashm-e ḳhūbāñ ḳhāmushī meñ bhī navā-pardāz hai
surmah to kahve kih dūd-e shuʿlah-e āvāz hai",G1
"ishq mujh ko nahīñ vaḥshat hī sahī
merī vaḥshat tirī shuhrat hī sahī",G11
"hai āramīdagī meñ nikohish bajā mujhe
ṣubḥ-e vat̤an hai ḳhandah-e dandāñ-numā mujhe",G3
"zindagī apnī jab is shakl se guzrī ġhālib
ham bhī kyā yād kareñge kih ḳhudā rakhte the",G5
"us bazm meñ mujhe nahīñ bantī ḥayā kiye
baiṭhā rahā agarchih ishāre huʾā kiye",G3
"raftār-e ʿumr qat̤ʿ-e rah-e iẓt̤irāb hai
is sāl ke ḥisāb ko barq āftāb hai",G3
"dekhnā qismat kih āp apne pah rashk ā jāʾe hai
maiñ use dekhūñ bhalā kab mujh se dekhā jāʾe hai",G1
"garm-e faryād rakhā shakl-e nihālī ne mujhe
tab amāñ hijr meñ dī bard-e liyālī ne mujhe",G5
"kār-gāh-e hastī meñ lālah dāġh-sāmāñ hai
barq-e ḳhirman-e rāḥat ḳhūn-e garm-e dihqāñ hai",G4
"ug rahā hai dar-o-dīvār se sabzah ġhālib
ham bayābāñ meñ haiñ aur ghar meñ bahār āʾī hai",G5
"sādagī par us kī mar jāne kī ḥasrat dil meñ hai
bas nahīñ chaltā kih phir ḳhanjar kaf-e qātil meñ hai",G1
"dil se tirī nigāh jigar tak utar gaʾī
donoñ ko ik adā meñ raẓāmand kar gaʾī",G3
"koʾī din gar zindagānī aur hai
apne jī meñ ham ne ṭhānī aur hai",G14
"koʾī ummīd bar nahīñ ātī
koʾī ṣūrat naz̤ar nahīñ ātī",G8
"dil-e nā-dāñ tujhe huʾā kyā hai
āḳhir is dard kī davā kyā hai",G8
"kahte to ho tum sab kih but-e ġhāliyah-mo āʾe
yak martabah ghabrā ke kaho koʾī kih vo āʾe",G13
"phir kuchh ik dil ko beqarārī hai
sīnah jūyā-e zaḳhm-e kārī hai",G8
"junūñ tuhmat-kash-e taskīñ nah ho gar shādmānī kī
namak-pāsh-e ḳharāsh-e dil hai lażżat zindagānī kī",G2
"nikohish hai sazā faryādī-e be-dād-e dilbar kī
mabādā ḳhandah-e dandāñ-numā ho ṣubḥ maḥshar kī",G2
"be-ětidāliyoñ se subuk sab meñ ham huʾe
jitne ziyādah ho gaʾe utne hī kam huʾe",G3
"jo nah naqd-e dāġh-e dil kī kare shuʿlah pāsbānī
to fusurdagī nihāñ hai bah kamīn-e be-zabānī",G6
"z̤ulmat-kade meñ mere shab-e ġham kā josh hai
ik shamʿa hai dalīl-e saḥar so ḳhamosh hai",G3
"ā kih mirī jān ko qarār nahīñ hai
t̤āqat-e be-dād-e intiz̤ār nahīñ hai",G17
"hujūm-e ġham se yāñ tak sar-nigūnī mujh ko ḥāṣil hai
kih tār-e dāman-o-tār-e naz̤ar meñ farq mushkil hai",G2
"pā bah dāman ho rahā hūñ baskih maiñ ṣaḥrā-navard
ḳhār-e pā haiñ jauhar-e āʾīnah-e zānū mujhe",G1
"jis bazm meñ tū nāz se guftār meñ āve
jāñ kālbud-e ṣūrat-e dīvār meñ āve",G13
"ḥusn-e mah garchih bah hangām-e kamāl achchhā hai
us se merā mah-e ḳhvurshīd-jamāl achchhā hai",G5
"nah huʾī gar mire marne se tasallī nah sahī
imtiḥāñ aur bhī bāqī ho to yih bhī nah sahī",G5
"ajab nashāt̤ se jallād ke chale haiñ ham āge
kih apne sāʾe se sar pāñv se hai do qadam āge",G16
"shikve ke nām se be-mihr ḳhafā hotā hai
yih bhī mat kah kih jo kahye to gilā hotā hai",G5
"har ek bāt pah kahte ho tum kih tū kyā hai
tumhīñ kaho kih yih andāz-e guftagū kyā hai",G9
"maiñ uñheñ chheṛūñ aur kuchh nah kaheñ
chal nikalte jo mai piye hote",G8
"ġhair leñ maḥfil meñ bose jām ke
ham raheñ yūñ tishnah-lab paiġhām ke",G14
"phir is andāz se bahār āʾī
kih huʾe mihr-o-mah tamāshāʾī",G8
"taġhāful-dost hūñ merā dimāġh-e ʿajz ʿālī hai
agar pahlū tihī kīje to jā merī bhī ḳhālī hai",G2
"kab vuh suntā hai kahānī merī
aur phir vuh bhī zabānī merī",G11
"naqsh-e nāz-e but-e t̤annāz bah āġhosh-e raqīb
pā-e t̤āʾūs paʾe ḳhāmah-e mānī māñge",G5
"gulshan ko tirī ṣuḥbat az baskih ḳhvush āʾī hai
har ġhunche kā gul honā āġhosh-kushāʾī hai",G18
"jis zaḳhm kī ho saktī ho tadbīr rafū kī
likh dījiyo yā rab use qismat meñ ʿadū kī",G13
"sīmāb pusht-garmī-e āʾīnah de hai ham
ḥairāñ kiye huʾe haiñ dil-e be-qarār ke",G3
"hai vaṣl hijr ʿālam-e tamkīn-o-ẓabt̤ meñ
maʿshūq-e shoḳh-o-ʿāshiq-e dīvānah chāhiye",G3
"chāhiye achchhoñ ko jitnā chāhiye
yih agar chāheñ to phir kyā chāhiye",G14
"har qadam dūrī-e manzil hai numāyāñ mujh se
merī raftār se bhāge hai bayābāñ mujh se",G5
"nuktah-chīñ hai ġham-e dil us ko sunāʾe nah bane
kyā bane bāt jahāñ bāt banāʾe nah bane",G5
"chāk kī ḳhvāhish agar vaḥshat bah ʿuryānī kare
ṣubḥ ke mānind zaḳhm-e dil garebānī kare",G1
"vuh ā ke ḳhvāb meñ taskīn-e iẓt̤irāb to de
vale mujhe tapish-e dil majāl-e ḳhvāb to de",G9
"tapish se merī vaqf-e kashmakash har tār-e bistar hai
mirā sar ranj-e bālīñ hai mirā tan bār-e bistar hai",G2
"ḳhat̤ar hai rishtah-e ulfat rag-e gardan nah ho jāve
ġhurūr-e dostī āfat hai tū dushman nah ho jāve",G2
"faryād kī koʾī lai nahīñ hai
nālah pāband-e nai nahīñ hai",G19
"nah pūchh nusḳhah-e marham jarāḥat-e dil kā
kih us meñ rezah-e almās juzv-e aʿz̤am hai",G9
"ham rashk ko apne bhī gavārā nahīñ karte
marte haiñ vale un kī tamannā nahīñ karte",G13
"kare hai bādah tire lab se kasb-e rang-e furoġh
ḳhat̤-e piyālah sarāsar nigāh-e gul-chīñ hai",G9
"kyūñ nah ho chashm-e butāñ maḥv-e taġhāful kyūñ nah ho
yaʿnī us bīmār ko naz̤z̤āre se parhez hai",G1
"diyā hai dil agar us ko bashar hai kyā kahiye
huʾā raqīb to ho nāmah-bar hai kyā kahiye",G9
"dekh kar dar-pardah garm-e dāman-afshānī mujhe
kar gaʾī vā-bastah-e tan merī ʿuryānī mujhe",G1
"yād hai shādī meñ bhī hangāmah-e yā rab mujhe
subḥah-e zāhid huʾā hai ḳhandah zer-e lab mujhe",G1
"ḥuẓūr-e shāh meñ ahl-e suḳhan kī āzmāʾish hai
chaman meñ ḳhvush-navāyān-e chaman kī āzmāʾish hai",G2
"kabhī nekī bhī us ke jī meñ gar ā jāʾe hai mujh se
jafāʾeñ kar ke apnī yād sharmā jāʾe hai mujh se",G2
"z-baskih mashq-e tamāshā junūñ-ʿalāmat hai
kushād-o-bast-e mizhah sīlī-e nadāmat hai",G9
"lāġhar itnā hūñ kih gar tū bazm meñ jā de mujhe
merā żimmah dekh kar gar koʾī batlā de mujhe",G1
"bāzīchah-e at̤fāl hai dunyā mire āge
hotā hai shab-o-roz tamāshā mire āge",G13
"kahūñ jo ḥāl to kahte ho muddaʿā kahiye
tumhīñ kaho kih jo tum yūñ kaho to kyā kahiye",G9
"rone se aur ʿishq meñ be-bāk ho gaʾe
dhoʾe gaʾe ham itne kih bas pāk ho gaʾe",G3
"nashshah'hā shādāb-e rang-o-sāz'hā mast-e t̤arab
shīshah-e mai sarv-e sabz-e jūʾibār-e naġhmah hai",G1
"arẓ-e nāz-e shoḳhī-e dandāñ barāʾe ḳhandah hai
daʿvā-e jamʿiyyat-e aḥbāb jā-e ḳhandah hai",G1
"ḥusn-e be-parvā ḳharīdār-e matāʿ-e jalvah hai
āʾinah zānū-e fikr-e iḳhtirāʿ-e jalvah hai",G1
"jab tak dahān-e zaḳhm nah paidā kare koʾī
mushkil kih tujh se rāh-e suḳhan vā kare koʾī",G3
"ibn-e maryam huʾā kare koʾī
mere dukh kī davā kare koʾī",G8
"bahut sahī ġham-e gītī sharāb kam kyā hai
ġhulām-e sāqī-e kauṡar hūñ mujh ko ġham kyā hai",G9
"bāġh pā kar ḳhafaqānī yih ḍarātā hai mujhe
sāyah-e shāḳh-e gul afʿī naz̤ar ātā hai mujhe",G5
"rauñdī huʾī hai kaukabah-e shahryār kī
itrāʾe kyūñ nah ḳhāk sar-e rahguzār kī",G3
"hazāroñ ḳhvāhisheñ aisī kih har ḳhvāhish pah dam nikle
bahut nikle mire armān lekin phir bhī kam nikle",G2
"koh ke hoñ bār-e ḳhāt̤ir gar ṣadā ho jāʾiye
be-takalluf ay sharār-e jastah kyā ho jāʾiye",G1
"mastī bah ẓauq-e ġhaflat-e sāqī halāk hai
mauj-e sharāb yak mizhah-e ḳhvāb-nāk hai",G3
"lab-e ʿīsâ kī junbish kartī hai gahvārah-junbānī
qiyāmat kushtah-e laʿl-e butāñ kā ḳhvāb-e sangīñ hai",G2
"āmad-e sailāb-e t̤ūfān-e ṣadā-e āb hai
naqsh-e pā jo kān meñ rakhtā hai uñglī jādah se",G1
"hūñ maiñ bhī tamāshāʾī-e nairang-e tamannā
mat̤lab nahīñ kuchh is se kih mat̤lab hī bar āve",G13
"siyāhī jaise gir jāve dam-e taḥrīr kāġhaż par
mirī qismat meñ yūñ taṣvīr hai shab'hā-e hijrāñ kī",G2
"hujūm-e nālah ḥairat ʿājiz-e ʿarẓ-e yak-afġhāñ hai
ḳhamoshī reshah-e ṣad naisitāñ se ḳhas bah dandāñ hai",G2
"ḳhamoshiyoñ meñ tamāshā adā nikaltī hai
nigāh dil se tire surmah sā nikaltī hai",G9
"jis jā nasīm shānah-kash-e zulf-e yār hai
nāfah dimāġh-e āhū-e dasht-e tatār hai",G3
"āʾīnah kyūñ nah dūñ kih tamāshā kaheñ jise
aisā kahāñ se lāʾūñ kih tujh sā kaheñ jise",G3
"shabnam bah gul-e lālah nah ḳhālī z adā hai
dāġh-e dil-e bedard naz̤ar-gāh-e ḥayā hai",G13
"manz̤ūr thī yih shakl tajallī ko nūr kī
qismat khulī tire qad-o-ruḳh se z̤uhūr kī",G3
"ġham khāne meñ bodā dil-e nā-kām bahut hai
yih ranj kih kam hai mai-e gulfām bahut hai",G13
"muddat huʾī hai yār ko mihmāñ kiye huʾe
josh-e qadaḥ se bazm chirāġhāñ kiye huʾe",G3
"naved-e amn hai bedād-e dost jāñ ke liye
rahī nah t̤arz-e sitam koʾī āsmāñ ke liye",G9